GRUPO FINANCEIRO;Consultor Comercial;Empresa;Tipo;Pagto;Porte Cliente;Cliente (Razão Social);CNPJ;Operadora;Benefício ;Tipo Receita; Premio Bruto ;% Receita para XIPP; Receita Bruta da Corretora XIPP ;  % Impostos retidos; Impostos retidos ; Receita recebida pela Corretora XIPP ;(%) Impostos sobre receita;  Imposto R$  ; Receita Líquida  ;"% 
Comissão"; Comissão a Pagar ;
Brascabo;Leandro Peralta;Leandro Peralta;Consultor Interno;01/08/2023;Middle;Brascabo;02.755.014/0001-40;Metlife Odonto;Odonto;Comissão; R$ 1.401,78 ;10,00%; R$ 140,18 ;6,50%; R$ 9,11 ; R$ 131,07 ;14,25%; R$ 18,68 ; R$ 112,39 ;10,00%; R$ 11,24 ;
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/12/2023;Corporate;Ortobom;02.748.357/0001-88;Metlife Vida;Vida;Comissão; R$ 905,66 ;15,00%; R$ 135,85 ;3,50%; R$ 4,75 ; R$ 131,09 ;14,25%; R$ 18,68 ; R$ 112,41 ;10,00%; R$ 11,24 ;
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/12/2023;Corporate;Ortobom;02.292.653/0001-17;Metlife Vida;Vida;Comissão; R$ 906,56 ;15,00%; R$ 135,98 ;3,50%; R$ 4,76 ; R$ 131,22 ;14,25%; R$ 18,70 ; R$ 112,53 ;10,00%; R$ 11,25 ;
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/12/2023;Corporate;Ortobom;02.292.653/0001-17;Metlife Vida;Vida;Comissão; R$ 906,56 ;15,00%; R$ 135,98 ;3,50%; R$ 4,76 ; R$ 131,22 ;14,25%; R$ 18,70 ; R$ 112,53 ;10,00%; R$ 11,25 ;
Grupo Sifra;Michelle;Balsamão;Parceiro;01/05/2023;Middle;Osher Investimentos E Participacoes Ltda;03.796.148/0001-72;Bradesco;Saúde;Comissão; R$ 4.545,12 ;3,00%; R$ 136,35 ;3,50%; R$ 4,77 ; R$ 131,58 ;14,25%; R$ 18,75 ; R$ 112,83 ;30,00%; R$ 33,85 ;
Grupo Sifra;Michelle;Balsamão;Parceiro;01/03/2023;Middle;Osher Investimentos E Participacoes Ltda;03.796.148/0001-72;Bradesco;Saúde;Comissão; R$ 4.545,12 ;3,00%; R$ 136,35 ;3,50%; R$ 4,77 ; R$ 131,58 ;14,25%; R$ 18,75 ; R$ 112,83 ;30,00%; R$ 33,85 ;
Grupo Sifra;Michelle;Balsamão;Parceiro;01/03/2023;Middle;Osher Investimentos E Participacoes Ltda;03.796.148/0001-72;Bradesco;Saúde;Comissão; R$ 4.545,12 ;3,00%; R$ 136,35 ;3,50%; R$ 4,77 ; R$ 131,58 ;14,25%; R$ 18,75 ; R$ 112,83 ;30,00%; R$ 33,85 ;
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";02.135.454/0001-03;Odontoprev;Odonto;Comissão; R$ 1.375,04 ;10,00%; R$ 137,50 ;3,50%; R$ 4,81 ; R$ 132,69 ;14,25%; R$ 18,91 ; R$ 113,78 ;10,00%; R$ 11,38 ;
Grupo Sifra;Michelle;Balsamão;Parceiro;01/04/2023;Middle;Osher Investimentos E Participacoes Ltda;03.796.148/0001-72;Bradesco;Saúde;Comissão; R$ 4.584,89 ;3,00%; R$ 137,55 ;3,50%; R$ 4,81 ; R$ 132,73 ;14,25%; R$ 18,91 ; R$ 113,82 ;30,00%; R$ 34,15 ;
Grupo Sifra;Michelle;Balsamão;Parceiro;01/08/2023;Middle;Okno Capital Ltda;08.411.164/0001-13;Bradesco;Saúde;Comissão; R$ 4.713,27 ;3,00%; R$ 141,40 ;3,50%; R$ 4,95 ; R$ 136,45 ;14,25%; R$ 19,44 ; R$ 117,01 ;30,00%; R$ 35,10 ;
Reino do Ensino;Leandro Peralta;Leandro Peralta;Consultor Interno;01/12/2022;Middle;Colegio Reino do Ensino Ltda.;07.721.485/0001-51;Prudential;Vida;Comissão; R$ 1.415,42 ;10,00%; R$ 141,54 ;3,50%; R$ 4,95 ; R$ 136,59 ;14,25%; R$ 19,46 ; R$ 117,12 ;10,00%; R$ 11,71 ;
Reino do Ensino;Leandro Peralta;Leandro Peralta;Consultor Interno;01/09/2023;Middle;Reino do Ensino;07.721.485/0001-51;Prudential;Vida;Comissão; R$ 1.417,25 ;10,00%; R$ 141,73 ;3,50%; R$ 4,96 ; R$ 136,76 ;14,25%; R$ 19,49 ; R$ 117,28 ;10,00%; R$ 11,73 ;
Reino do Ensino;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2022;Middle;Colegio Reino do Ensino Ltda.;07.721.485/0001-51;Prudential;Vida;Comissão; R$ 1.433,13 ;10,00%; R$ 143,31 ;3,50%; R$ 5,02 ; R$ 138,30 ;14,25%; R$ 19,71 ; R$ 118,59 ;10,00%; R$ 11,86 ;
Brascabo;Leandro Peralta;Leandro Peralta;Consultor Interno;01/10/2023;Middle;Brascabo;02.755.014/0001-40;Metlife Odonto;Odonto;Comissão; R$ 1.482,21 ;0,10%; R$ 148,22 ;6,50%; R$ 9,63 ; R$ 138,59 ;14,25%; R$ 19,75 ; R$ 118,84 ;10,00%; R$ 11,88 ;
Brascabo;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Middle;Brascabo;02.755.014/0001-40;Metlife Odonto;Odonto;Comissão; R$ 1.482,21 ;0,10%; R$ 148,22 ;6,50%; R$ 9,63 ; R$ 138,59 ;14,25%; R$ 19,75 ; R$ 118,84 ;10,00%; R$ 11,88 ;
Reino do Ensino;Leandro Peralta;Leandro Peralta;Consultor Interno;01/02/2023;Middle;Reino do Ensino;07.721.485/0001-51;Prudential;Vida;Comissão; R$ 1.415,42 ;10,00%; R$ 141,54 ;2,00%; R$ 2,83 ; R$ 138,71 ;14,25%; R$ 19,77 ; R$ 118,94 ;10,00%; R$ 11,89 ;
Reino do Ensino;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2023;Middle;Reino do Ensino;07.721.485/0001-51;Prudential;Vida;Comissão; R$ 1.415,42 ;10,00%; R$ 141,54 ;2,00%; R$ 2,83 ; R$ 138,71 ;14,25%; R$ 19,77 ; R$ 118,94 ;10,00%; R$ 11,89 ;
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/03/2024;Middle;Listo;31.862.653/0001-03;GNDI;Saúde;Comissão; R$ 3.721,58 ;4,00%; R$ 148,86 ;6,50%; R$ 9,68 ; R$ 139,19 ;14,25%; R$ 19,83 ; R$ 119,35 ;10,00%; R$ 11,94 ;
Reino do Ensino;Leandro Peralta;Leandro Peralta;Consultor Interno;01/05/2023;Middle;Reino do Ensino;07.721.485/0001-51;Prudential;Vida;Comissão; R$ 1.431,45 ;10,00%; R$ 143,15 ;2,00%; R$ 2,86 ; R$ 140,28 ;14,25%; R$ 19,99 ; R$ 120,29 ;10,00%; R$ 12,03 ;
Kerry Logistics;Marcelo Natal;MNT Barcelos;Consultor Interno;01/03/2024;Small;Kerry Logistics;66.935.099/0001-21;Unimed Campinas;Saúde;Comissão; R$ 3.565,00 ;4,00%; R$ 142,60 ;1,50%; R$ 2,14 ; R$ 140,46 ;14,25%; R$ 20,02 ; R$ 120,45 ;10,00%; R$ 12,04 ;
Kerry Logistics;Marcelo Natal;MNT Barcelos;Consultor Interno;01/03/2024;Small;Kerry Logistics;66.935.099/0001-21;Unimed Campinas;Saúde;Comissão; R$ 3.565,00 ;4,00%; R$ 142,60 ;1,50%; R$ 2,14 ; R$ 140,46 ;14,25%; R$ 20,02 ; R$ 120,45 ;10,00%; R$ 12,04 ;
Kerry Logistics;Marcelo Natal;MNT Barcelos;Consultor Interno;01/03/2024;Small;Kerry Logistics;66.935.099/0001-21;Unimed Campinas;Saúde;Comissão; R$ 3.565,00 ;4,00%; R$ 142,60 ;1,50%; R$ 2,14 ; R$ 140,46 ;14,25%; R$ 20,02 ; R$ 120,45 ;10,00%; R$ 12,04 ;
Reino do Ensino;Leandro Peralta;Leandro Peralta;Consultor Interno;01/05/2023;Middle;Reino do Ensino;07.721.485/0001-51;Prudential;Vida;Comissão; R$ 1.442,20 ;10,00%; R$ 144,22 ;2,00%; R$ 2,88 ; R$ 141,34 ;14,25%; R$ 20,14 ; R$ 121,20 ;10,00%; R$ 12,12 ;
Reino do Ensino;Leandro Peralta;Leandro Peralta;Consultor Interno;01/07/2023;Middle;Reino do Ensino;07.721.485/0001-51;Prudential;Vida;Comissão; R$ 1.470,79 ;10,00%; R$ 147,08 ;3,50%; R$ 5,15 ; R$ 141,93 ;14,25%; R$ 20,23 ; R$ 121,71 ;10,00%; R$ 12,17 ;
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/05/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;METLIFE;ODONTO;Comissão; R$ 3.067,83 ;5,00%; R$ 153,39 ;6,50%; R$ 9,97 ; R$ 143,42 ;14,25%; R$ 20,44 ; R$ 122,98 ;10,00%; R$ 12,30 ;
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Omnilink Tecnologia S.A.;03.585.974/0014-97;BRADESCO;SAÚDE;Comissão; R$ 5.005,84 ;3,00%; R$ 150,18 ;3,50%; R$ 5,26 ; R$ 144,92 ;14,25%; R$ 20,65 ; R$ 124,27 ;10,00%; R$ 12,43 ;
Reino do Ensino;Leandro Peralta;Leandro Peralta;Consultor Interno;01/08/2023;Middle;Reino do Ensino;07.721.485/0001-51;Prudential;Vida;Comissão; R$ 1.502,25 ;10,00%; R$ 150,23 ;3,50%; R$ 5,26 ; R$ 144,97 ;14,25%; R$ 20,66 ; R$ 124,31 ;10,00%; R$ 12,43 ;
Master Fórmula;Juliana Boldrini;Juliana Boldrini;Consultor Interno;01/01/2024;Middle;Master Fórmula;71.605.265/0102-05;Metlife;Vida;Comissão; R$ 709,55 ;21,20%; R$ 150,42 ;3,50%; R$ 5,26 ; R$ 145,16 ;14,25%; R$ 20,69 ; R$ 124,47 ;10,00%; R$ 12,45 ;
Master Fórmula;Juliana Boldrini;Juliana Boldrini;Consultor Interno;01/01/2024;Middle;Master Fórmula;71.605.265/0102-05;Metlife;Vida;Comissão; R$ 709,55 ;21,20%; R$ 150,42 ;3,50%; R$ 5,26 ; R$ 145,16 ;14,25%; R$ 20,69 ; R$ 124,47 ;10,00%; R$ 12,45 ;
Master Fórmula;Juliana Boldrini;Juliana Boldrini;Consultor Interno;01/01/2024;Middle;Master Fórmula;71.605.265/0102-05;Metlife;Vida;Comissão; R$ 709,55 ;21,20%; R$ 150,42 ;3,50%; R$ 5,26 ; R$ 145,16 ;14,25%; R$ 20,69 ; R$ 124,47 ;10,00%; R$ 12,45 ;
Master Fórmula;Juliana Boldrini;Juliana Boldrini;Consultor Interno;01/01/2024;Middle;Master Fórmula;71.605.265/0102-05;Metlife;Vida;Comissão; R$ 709,55 ;21,20%; R$ 150,42 ;3,50%; R$ 5,26 ; R$ 145,16 ;14,25%; R$ 20,69 ; R$ 124,47 ;10,00%; R$ 12,45 ;
Master Fórmula;Juliana Boldrini;Juliana Boldrini;Consultor Interno;01/01/2024;Middle;Master Fórmula;71.605.265/0102-05;Metlife;Vida;Comissão; R$ 709,55 ;21,20%; R$ 150,42 ;3,50%; R$ 5,26 ; R$ 145,16 ;14,25%; R$ 20,69 ; R$ 124,47 ;10,00%; R$ 12,45 ;
Master Fórmula;Juliana Boldrini;Juliana Boldrini;Consultor Interno;01/12/2023;Middle;Master Fórmula;71.605.265/0102-05;Metlife;Vida;Comissão; R$ 709,55 ;21,20%; R$ 150,42 ;3,50%; R$ 5,26 ; R$ 145,16 ;14,25%; R$ 20,69 ; R$ 124,47 ;10,00%; R$ 12,45 ;
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/05/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;METLIFE;ODONTO;Comissão; R$ 3.113,79 ;5,00%; R$ 155,69 ;6,50%; R$ 10,12 ; R$ 145,57 ;14,25%; R$ 20,74 ; R$ 124,83 ;10,00%; R$ 12,48 ;
Mahogany;Marcelo Natal;MNT Barcelos;Consultor Interno;01/08/2023;Middle;Mahogany;28.269.178/0001-51;Sulamérica;Saúde;Comissão; R$ 3.021,40 ;5,00%; R$ 151,07 ;350,00%; R$ 5,29 ; R$ 145,78 ;14,25%; R$ 20,77 ; R$ 125,01 ;10,00%; R$ 12,50 ;
Mahogany;Marcelo Natal;MNT Barcelos;Consultor Interno;01/09/2023;Middle;Mahogany;28.269.178/0001-51;Sulamérica;Saúde;Comissão; R$ 3.021,40 ;5,00%; R$ 151,07 ;350,00%; R$ 5,29 ; R$ 145,78 ;14,25%; R$ 20,77 ; R$ 125,01 ;10,00%; R$ 12,50 ;
Master Fórmula;Juliana Boldrini;Juliana Boldrini;Consultor Interno;01/11/2023;Middle;Master Fórmula;71.605.265/0102-05;metlife;Vida;Comissão; R$ 713,88 ;21,20%; R$ 151,34 ;350,00%; R$ 5,30 ; R$ 146,04 ;14,25%; R$ 20,81 ; R$ 125,23 ;10,00%; R$ 12,52 ;
Metalus;Bruno Gass;Monte Bravo;Parceiro;01/02/2024;Middle;Metalus;77.507.796/0001-06;Amil;Odonto;Comissão; R$ 1.485,66 ;10,00%; R$ 148,57 ;1,50%; R$ 2,23 ; R$ 146,34 ;14,25%; R$ 20,85 ; R$ 125,48 ;50,00%; R$ 62,74 ;
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/12/2023;Middle;Lemasa;21.571.621/0001-03;Sul América Companhia de Seguro Saúde;Saúde;Comissão; R$ 3.037,00 ;5,00%; R$ 151,85 ;350,00%; R$ 5,31 ; R$ 146,54 ;14,25%; R$ 20,88 ; R$ 125,66 ;10,00%; R$ 12,56 ;
Ipam;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/02/2024;Small;Ipam;00.627.727/0003-65;Bradesco;Saúde;Comissão; R$ 7.619,93 ;2,00%; R$ 152,40 ;3,50%; R$ 5,33 ; R$ 147,06 ;14,25%; R$ 20,96 ; R$ 61,75 ;10,00%; R$ 6,17 ;
Ipam;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/01/2024;Small;Ipam;00.627.727/0003-65;Bradesco;Saúde;Comissão; R$ 7.623,00 ;2,00%; R$ 152,46 ;3,50%; R$ 5,34 ; R$ 147,12 ;14,25%; R$ 20,97 ; R$ 76,09 ;10,00%; R$ 7,61 ;
Ipam;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/03/2024;Small;Ipam;00.627.727/0003-65;Bradesco;Saúde;Comissão; R$ 7.624,26 ;2,00%; R$ 152,49 ;3,50%; R$ 5,34 ; R$ 147,15 ;14,25%; R$ 20,97 ; R$ 61,78 ;10,00%; R$ 6,18 ;
Brascabo;Leandro Peralta;Leandro Peralta;Consultor Interno;01/12/2023;Middle;Brascabo;02.755.014/0001-40;Metlife Odonto;Odonto;Comissão; R$ 1.585,62 ;10,00%; R$ 158,56 ;6,50%; R$ 10,31 ; R$ 148,26 ;14,25%; R$ 21,13 ; R$ 127,13 ;10,00%; R$ 12,71 ;
Primalter;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Small;Primalter;56.802.044/0002-70;Metlife ;Odonto;Agenciamento; R$ 153,91 ;100,00%; R$ 153,91 ;3,50%; R$ 5,39 ; R$ 148,52 ;14,25%; R$ 21,16 ; R$ 127,36 ;10,00%; R$ 12,74 ;
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;Comissão; R$ 1.589,21 ;10,00%; R$ 158,92 ;6,50%; R$ 10,33 ; R$ 148,59 ;14,25%; R$ 21,17 ; R$ 127,42 ;10,00%; R$ 12,74 ;
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";04.536.791/0001-20;Odontoprev;Odonto;Comissão; R$ 1.544,01 ;10,00%; R$ 154,40 ;3,50%; R$ 5,40 ; R$ 149,00 ;14,25%; R$ 21,23 ; R$ 127,76 ;10,00%; R$ 12,78 ;
Brascabo;Leandro Peralta;Leandro Peralta;Consultor Interno;01/03/2024;Middle;Brascabo;02.755.014/0001-40;Metlife Odonto;Odonto;Comissão; R$ 1.597,11 ;10,00%; R$ 159,71 ;6,50%; R$ 10,38 ; R$ 149,33 ;14,25%; R$ 21,28 ; R$ 128,05 ;10,00%; R$ 12,81 ;
Brascabo;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Middle;Brascabo;02.755.014/0001-40;Metlife Odonto;Odonto;Comissão; R$ 1.597,11 ;10,00%; R$ 159,71 ;6,50%; R$ 10,38 ; R$ 149,33 ;14,25%; R$ 21,28 ; R$ 128,05 ;10,00%; R$ 12,81 ;
Brascabo;Leandro Peralta;Leandro Peralta;Consultor Interno;01/02/2024;Middle;Brascabo;02.755.014/0001-40;Metlife Odonto;Odonto;Comissão; R$ 1.597,11 ;10,00%; R$ 159,71 ;6,50%; R$ 10,38 ; R$ 149,33 ;14,25%; R$ 21,28 ; R$ 128,05 ;10,00%; R$ 12,81 ;
Brascabo;Leandro Peralta;Leandro Peralta;Consultor Interno;01/02/2024;Middle;Brascabo;02.755.014/0001-40;Metlife Odonto;Odonto;Comissão; R$ 1.597,11 ;10,00%; R$ 159,71 ;6,50%; R$ 10,38 ; R$ 149,33 ;14,25%; R$ 21,28 ; R$ 128,05 ;10,00%; R$ 12,81 ;
Ipam;Rafael Galhardo;Messem;Parceiro;01/02/2024;Small;Ipam;00.627.727/0003-65;Bradesco;Saúde;Comissão; R$ 7.619,93 ;2,00%; R$ 152,40 ;1,50%; R$ 2,29 ; R$ 150,11 ;14,25%; R$ 21,39 ; R$ 128,72 ;50,00%; R$ 64,36 ;
Ipam;Rafael Galhardo;Messem;Parceiro;01/01/2024;Small;Ipam;00.627.727/0003-65;Bradesco;Saúde;Comissão; R$ 7.623,00 ;2,00%; R$ 152,46 ;1,50%; R$ 2,29 ; R$ 150,17 ;14,25%; R$ 21,40 ; R$ 128,77 ;50,00%; R$ 64,39 ;
Ipam;Rafael Galhardo;Messem;Parceiro;01/03/2024;Small;Ipam;00.627.727/0003-65;Bradesco;Saúde;Comissão; R$ 7.624,26 ;2,00%; R$ 152,49 ;1,50%; R$ 2,29 ; R$ 150,20 ;14,25%; R$ 21,40 ; R$ 128,79 ;50,00%; R$ 64,40 ;
Erj Consultoria;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/03/2022;Small;Erj Consultoria;42.952.840/0001-02;Metlife;Odonto;Agenciamento; R$ 80,43 ;2,00%; R$ 160,86 ;6,50%; R$ 10,46 ; R$ 150,40 ;14,25%; R$ 21,43 ; R$ 128,97 ;20,00%; R$ 25,79 ;
Erj Consultoria;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/03/2022;Small;Erj Consultoria;28.673.498.0001-72;Metlife;Odonto;Agenciamento; R$ 80,43 ;2,00%; R$ 160,86 ;6,50%; R$ 10,46 ; R$ 150,40 ;14,25%; R$ 21,43 ; R$ 128,97 ;20,00%; R$ 25,79 ;
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Lemasa;21.571.621/0001-03;Sul América Companhia de Seguro Saúde;Saúde;Comissão; R$ 3.121,80 ;5,00%; R$ 156,09 ;350,00%; R$ 5,46 ; R$ 150,63 ;14,25%; R$ 21,46 ; R$ 129,17 ;10,00%; R$ 12,92 ;
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/02/2024;Middle;Lemasa;21.571.621/0004-48;Sulamerica;Saúde;Comissão; R$ 3.121,80 ;5,00%; R$ 156,09 ;3,50%; R$ 5,46 ; R$ 150,63 ;14,25%; R$ 21,46 ; R$ 129,16 ;10,00%; R$ 12,92 ;
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/03/2024;Middle;Lemasa;21.571.621/0004-48;Sulamerica;Saúde;Comissão; R$ 3.121,80 ;5,00%; R$ 156,09 ;3,50%; R$ 5,46 ; R$ 150,63 ;14,25%; R$ 21,46 ; R$ 129,16 ;10,00%; R$ 12,92 ;
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/02/2024;Corporate;"	Nutrien";02.135.454/0001-03;Odontoprev;Odonto;Comissão; R$ 1.569,17 ;10,00%; R$ 156,92 ;3,50%; R$ 5,49 ; R$ 151,42 ;14,25%; R$ 21,58 ; R$ 129,85 ;10,00%; R$ 12,98 ;
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/08/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;METLIFE;ODONTO;Comissão; R$ 3.240,18 ;5,00%; R$ 162,01 ;6,50%; R$ 10,53 ; R$ 151,48 ;14,25%; R$ 21,59 ; R$ 129,89 ;10,00%; R$ 12,99 ;
Reino do Ensino;Leandro Peralta;Leandro Peralta;Consultor Interno;01/06/2023;Middle;Reino do Ensino;07.721.485/0001-51;Prudential;Vida;Comissão; R$ 1.571,77 ;10,00%; R$ 157,18 ;3,50%; R$ 5,50 ; R$ 151,68 ;14,25%; R$ 21,61 ; R$ 130,06 ;10,00%; R$ 13,01 ;
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/06/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;METLIFE;ODONTO;Comissão; R$ 3.251,67 ;5,00%; R$ 162,58 ;6,50%; R$ 10,57 ; R$ 152,02 ;14,25%; R$ 21,66 ; R$ 130,35 ;10,00%; R$ 13,04 ;
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;58.230.988/0008-31;Odontoprev;Odonto;Comissão; R$ 1.580,95 ;10,00%; R$ 158,10 ;3,50%; R$ 5,53 ; R$ 152,56 ;14,25%; R$ 21,74 ; R$ 130,82 ;10,00%; R$ 13,08 ;
Master Fórmula;Juliana Boldrini;Juliana Boldrini;Consultor Interno;01/07/2023;Middle;Master Fórmula;71.605.265/0102-05;METLIFE;Vida;Comissão; R$ 746,37 ;21,20%; R$ 158,23 ;3,50%; R$ 5,54 ; R$ 152,69 ;14,25%; R$ 21,76 ; R$ 130,93 ;10,00%; R$ 13,09 ;
Stepan Química;Gisleide dos Santos;GR dos Santos;Consultor Interno;01/07/2022;Middle;STEPAN QUIMICA LTDA;01.898.598/0002-21;METLIFE;ODONTO;Comissão; R$ 3.274,65 ;5,00%; R$ 163,73 ;6,50%; R$ 10,64 ; R$ 153,09 ;14,25%; R$ 21,82 ; R$ 131,27 ;10,00%; R$ 13,13 ;
Master Fórmula;Juliana Boldrini;Juliana Boldrini;Consultor Interno;01/09/2023;Middle;Master Fórmula;71.605.265/0102-05;Metlife;Vida;Comissão; R$ 748,42 ;21,20%; R$ 158,66 ;350,00%; R$ 5,55 ; R$ 153,11 ;14,25%; R$ 21,82 ; R$ 131,29 ;10,00%; R$ 13,13 ;
Master Fórmula;Juliana Boldrini;Juliana Boldrini;Consultor Interno;01/08/2023;Middle;Master Fórmula;71.605.265/0102-05;Metlife;Vida;Comissão; R$ 737,56 ;21,20%; R$ 156,36 ;3,50%; R$ 5,47 ; R$ 150,89 ;14,25%; R$ 21,84 ; R$ 131,39 ;10,00%; R$ 13,14 ;
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;58.230.988/0008-31;Odontoprev;Odonto;Comissão; R$ 1.592,33 ;10,00%; R$ 159,23 ;3,50%; R$ 5,57 ; R$ 153,66 ;14,25%; R$ 21,90 ; R$ 131,76 ;10,00%; R$ 13,18 ;
Grupo Sifra;Michelle;Balsamão;Parceiro;01/09/2023;Middle;"	Prodade Corretagem De Valores E Informatica Ltda";10.448.993/0001-12;Bradesco;Saúde;Comissão; R$ 5.336,93 ;3,00%; R$ 160,11 ;3,50%; R$ 5,60 ; R$ 154,50 ;14,25%; R$ 22,02 ; R$ 132,49 ;30,00%; R$ 39,75 ;
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Omnilink Tecnologia S.A.;03.585.974/0004-15;BRADESCO;SAÚDE;Comissão; R$ 5.350,06 ;3,00%; R$ 160,50 ;3,50%; R$ 5,62 ; R$ 154,88 ;14,25%; R$ 22,07 ; R$ 132,81 ;10,00%; R$ 13,28 ;
Davene;Mayara Costa;MC Consultoria;Consultor Interno;01/08/2023;Corporate;Davene;05.975.111/0001-37;AXA;Vida;Comissão; R$ 800,30 ;19,90%; R$ 159,26 ;201,00%; R$ 3,20 ; R$ 156,06 ;14,25%; R$ 22,24 ; R$ 133,82 ;10,00%; R$ 13,39 ;
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/10/2022;Corporate;Indutil Industria de Tintas Ltda.;61.409.355/0001-23;SULAMERICA;SAÚDE;Comissão; R$ 3.235,80 ;5,00%; R$ 161,79 ;3,50%; R$ 5,66 ; R$ 156,13 ;14,25%; R$ 22,25 ; R$ 133,88 ;10,00%; R$ 13,39 ;
Sasazaki;Leandro Peralta;Leandro Peralta;Consultor Interno;01/07/2023;Small;Sasazaki;52.045.697/0001-10;Odontoprev;Odonto;Agenciamento; R$ 156,24 ;100,00%; R$ 156,24 ;0,00%; R$ -   ; R$ 156,24 ;14,25%; R$ 22,26 ; R$ 133,98 ;20,00%; R$ 26,80 ;
Mahogany;Marcelo Natal;MNT Barcelos;Consultor Interno;01/11/2023;Middle;Mahogany;28.269.178/0001-51;Sul América Companhia de Seguro Saúde;Odonto;Comissão; R$ 1.625,40 ;10,00%; R$ 162,54 ;350,00%; R$ 5,69 ; R$ 156,85 ;14,25%; R$ 22,35 ; R$ 134,50 ;10,00%; R$ 13,45 ;
Master Fórmula;Juliana Boldrini;Juliana Boldrini;Consultor Interno;01/09/2023;Middle;Master Fórmula;71.605.265/0102-05;Metlife;Vida;Comissão; R$ 755,72 ;21,20%; R$ 160,21 ;200,00%; R$ 3,20 ; R$ 157,01 ;14,25%; R$ 22,37 ; R$ 134,64 ;10,00%; R$ 13,46 ;
Mahogany;Marcelo Natal;MNT Barcelos;Consultor Interno;01/08/2023;Middle;Mahogany;28.269.178/0001-51;Sulamérica;Odonto;Comissão; R$ 1.633,90 ;10,00%; R$ 163,39 ;350,00%; R$ 5,72 ; R$ 157,67 ;14,25%; R$ 22,47 ; R$ 135,20 ;10,00%; R$ 13,52 ;
Mahogany;Marcelo Natal;MNT Barcelos;Consultor Interno;01/09/2023;Middle;Mahogany;28.269.178/0001-51;Sulamérica;Odonto;Comissão; R$ 1.633,90 ;10,00%; R$ 163,39 ;350,00%; R$ 5,72 ; R$ 157,67 ;14,25%; R$ 22,47 ; R$ 135,20 ;10,00%; R$ 13,52 ;
Reino do Ensino;Leandro Peralta;Leandro Peralta;Consultor Interno;01/03/2023;Middle;Reino do Ensino;07.721.485/0001-51;Prudential;Não;Comissão; R$ 1.609,53 ;10,00%; R$ 160,95 ;2,00%; R$ 3,22 ; R$ 157,73 ;14,25%; R$ 22,48 ; R$ 135,26 ;10,00%; R$ 13,53 ;
Reino do Ensino;Leandro Peralta;Leandro Peralta;Consultor Interno;01/04/2023;Middle;Reino do Ensino;07.721.485/0001-51;Prudential;Vida;Comissão; R$ 1.609,53 ;10,00%; R$ 160,95 ;2,00%; R$ 3,22 ; R$ 157,73 ;14,25%; R$ 22,48 ; R$ 135,26 ;10,00%; R$ 13,53 ;
